scientific_name,chinese_name,family,genus,source
Aconitum carmichaelii,乌头,Ranunculaceae,Aconitum,CURRENT_DB
Angelica sinensis,当归,Apiaceae,Angelica,CURRENT_DB
Brassica oleracea,甘蓝,Brassicaceae,Brassica,CURRENT_DB
Brassica rapa,小白菜,Brassicaceae,Brassica,CURRENT_DB
Coptis chinensis,黄连,Ranunculaceae,Coptis,CURRENT_DB
Cymbidium goeringii,兰花,Orchidaceae,Cymbidium,CURRENT_DB
Dendrobium nobile,石斛兰,Orchidaceae,Dendrobium,CURRENT_DB
Glycine max,大豆,Fabaceae,Glycine,CURRENT_DB
Helianthus annuus,向日葵,Asteraceae,Helianthus,CURRENT_DB
Hemerocallis fulva,萱草,Asphodelaceae,Hemerocallis,CURRENT_DB
Hosta plantaginea,玉簪,Asparagaceae,Hosta,CURRENT_DB
Larix gmelinii,兴安落叶松,Pinaceae,Larix,CURRENT_DB
Lilium brownii,百合,Liliaceae,Lilium,CURRENT_DB
Ophiopogon japonicus,麦冬,Asparagaceae,Ophiopogon,CURRENT_DB
Oryza sativa,水稻,Poaceae,Oryza,CURRENT_DB
Paeonia lactiflora,芍药,Paeoniaceae,Paeonia,CURRENT_DB
Phalaenopsis aphrodite,蛾兰,Orchidaceae,Phalaenopsis,CURRENT_DB
Phaseolus vulgaris,菜豆,Fabaceae,Phaseolus,CURRENT_DB
Picea asperata,云杉,Pinaceae,Picea,CURRENT_DB
Pinus massoniana,马尾松,Pinaceae,Pinus,CURRENT_DB
Prunus mume,梅,Rosaceae,Prunus,CURRENT_DB
Prunus persica,桃,Rosaceae,Prunus,CURRENT_DB
Prunus serrulata,山樱桃,Rosaceae,Prunus,CURRENT_DB
Pyrus pyrifolia,梨,Rosaceae,Pyrus,CURRENT_DB
Rosa rugosa,玫瑰,Rosaceae,Rosa,CURRENT_DB
Saccharum officinarum,甘蔗,Poaceae,Saccharum,CURRENT_DB
Taraxacum mongolicum,蒙古蒲公英,Asteraceae,Taraxacum,CURRENT_DB
Triticum aestivum,小麦,Poaceae,Triticum,CURRENT_DB
Zea mays,玉米,Poaceae,Zea,CURRENT_DB