scientific_name,family,genus,current_note,review_reason,chinese_name,review_status,review_note,reviewer,reviewed_at,apply_to_pending
Ixora kachinensis,Rubiaceae,Ixora,REVIEW_HIGH: likely CN-relevant epithet; GBIF_CJK_0,high epithet + no GBIF CJK candidate,克钦龙船花,approved,模式产地克钦邦,系统管理员,2026-03-29,1
Lasianthus chinensis,Rubiaceae,Lasianthus,REVIEW_HIGH: likely CN-relevant epithet; GBIF_CJK_0,high epithet + no GBIF CJK candidate,中国粗叶木,approved,chinensis=中国,系统管理员,2026-03-29,1
Lasianthus austrosinensis,Rubiaceae,Lasianthus,REVIEW_HIGH: likely CN-relevant epithet; GBIF_CJK_0,high epithet + no GBIF CJK candidate,华南粗叶木,approved,austrosinensis=华南,系统管理员,2026-03-29,1
Leptopus chinensis,Phyllanthaceae,Leptopus,REVIEW_HIGH: likely CN-relevant epithet; GBIF_CJK_0,high epithet + no GBIF CJK candidate,中国雀舌木,approved,chinensis=中国,系统管理员,2026-03-29,1
Madhuca cochinchinensis,Sapotaceae,Madhuca,REVIEW_HIGH: likely CN-relevant epithet; GBIF_CJK_0,high epithet + no GBIF CJK candidate,交趾木奶果,approved,cochinchinensis=越南南部,系统管理员,2026-03-29,1
Kelloggia chinensis,Rubiaceae,Kelloggia,REVIEW_HIGH: likely CN-relevant epithet; GBIF_CJK_0,high epithet + no GBIF CJK candidate,中国钩毛草,approved,中国特有属,系统管理员,2026-03-29,1
Margaritaria indica,Phyllanthaceae,Margaritaria,REVIEW_HIGH: likely CN-relevant epithet; GBIF_CJK_0,high epithet + no GBIF CJK candidate,印度蓝子木,approved,indica=印度,系统管理员,2026-03-29,1
Mycetia sinensis,Rubiaceae,Mycetia,REVIEW_HIGH: likely CN-relevant epithet; GBIF_CJK_0,high epithet + no GBIF CJK candidate,中国腺萼木,approved,sinensis=中国,系统管理员,2026-03-29,1
Neanotis formosana,Rubiaceae,Neanotis,,high-priority epithet pattern,台湾新耳草,approved,formosana=台湾,系统管理员,2026-03-29,1
Neanotis indica,Rubiaceae,Neanotis,REVIEW_HIGH: likely CN-relevant epithet; GBIF_CJK_0,high epithet + no GBIF CJK candidate,印度新耳草,approved,indica=印度,系统管理员,2026-03-29,1
Aporosa yunnanensis,Phyllanthaceae,Aporosa,,high-priority epithet pattern,云南银柴,approved,yunnanensis=云南,系统管理员,2026-03-29,1