scientific_name,family,genus,review_reason,chinese_name,review_status,reviewer,reviewed_at
Aporosa yunnanensis,Phyllanthaceae,Aporosa,china-related epithet; family/genus in known China-distribution list; genus likely has natural distribution in China; existing REVIEW_HIGH flag from cn-pending-template.csv,,pending,,
Ixora chinensis,Rubiaceae,Ixora,china-related epithet; family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Ixora yunnanensis,Rubiaceae,Ixora,china-related epithet; family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Lasianthus chinensis,Rubiaceae,Lasianthus,china-related epithet; family/genus in known China-distribution list; genus likely has natural distribution in China; existing REVIEW_HIGH flag from cn-pending-template.csv,,pending,,
Leptopus chinensis,Phyllanthaceae,Leptopus,china-related epithet; family/genus in known China-distribution list; genus likely has natural distribution in China; existing REVIEW_HIGH flag from cn-pending-template.csv,,pending,,
Mycetia sinensis,Rubiaceae,Mycetia,china-related epithet; family/genus in known China-distribution list; genus likely has natural distribution in China; existing REVIEW_HIGH flag from cn-pending-template.csv,,pending,,
Neanotis formosana,Rubiaceae,Neanotis,china-related epithet; family/genus in known China-distribution list; genus likely has natural distribution in China; existing REVIEW_HIGH flag from cn-pending-template.csv,,pending,,
Prunus yunnanensis,Rosaceae,Prunus,china-related epithet; family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus albolineatus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus albomarginatus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus baotingensis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus brevilabris,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus burmannicus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus calcareus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus chapaensis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus elatus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus flavescens,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus geniculatus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus griffithii,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus hainanensis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus imitans,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus insignis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus integrilabris,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus klabatensis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus koshunensis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus longicalcaratus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus longilobus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus lylei,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus medogensis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus nandanensis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus narasimhanii,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus nicobaricus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus papuanus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus pectinatus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus pingbianensis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus regalis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus reinwardtii,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus sandvicensis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus setaceus,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,
Anoectochilus subregularis,Orchidaceae,Anoectochilus,family/genus in known China-distribution list; genus likely has natural distribution in China,,pending,,